id,ttm_ason,mcap,ev,pe,pbv,divyield,eps,book_value,roa_ttm,roe_ttm,roce_ttm,ebit_ttm,ebitda_ttm,ev_sales_ttm,ev_ebitda_ttm,net_income_margin_ttm,gross_income_margin_ttm,asset_turnover_ttm,current_ratio_ttm,debt_equity_ttm,sales_total_assets_ttm,net_debt_ebitda_ttm,ebitda_margin_ttm,total_share_holders_equity_ttm,short_term_debt_ttm,long_term_debt_ttm,shares_outstanding,eps_diluted,net_sales,net_profit,annual_dividend,cogs,peg_ratio_ttm,dividend_payout_ttm,company_id
278,202309,3740.82,17507.37,0,1.99,0,0,417.5875831,-2.8899261992080696,-31.5023,4.9905,871.95,1224.17,2.4317345274837003,14.301420554334772,-8.240665375843456,-2.7661489484050366,0.35069088082129257,1.1441,7.8376,0.35069088082129257,11.245619480954442,17.00344744247549,1883.32,7.94,14752.68,45100000,0,7199.54,-593.29,0,4915.420000000001,0,0,300
289,202306,105.07,293.907,0,0,0,0,-0.3056979,-15.210985092367887,-31.5891,-8.2813,-76.35,-64.76,0.5280873236905939,-4.538403335392217,-22.073488455664364,-19.991016081214628,0.6891065326135406,0.8636,0.7321,0.6891065326135406,-2.915843113032736,-11.63597161081664,270.22,168.16,29.66,868332614,0,556.55,-122.85000000000001,0,415.09,0,0,306
325,201712,5.36,260.5595157,0,0.23,0,0,21.3570449,-7.204329117225192,-175.33839,-0.1675,4.790000000000001,14.5,1.039701191891784,17.969621772413795,-13.227724352579703,-9.349187981325565,0.5446385882557483,1.57,9.39,0.5446385882557483,14.777241379310345,5.785882446829735,23.36,157.07,62.42,10941667,0,232.24,-33.15,0,143.7,0,0,347
382,201806,653.59,721.2992,0,0,0,0,-62.3425982,-22.321340464583866,58.0204,12.6721,-17.089999999999996,-8.02,0,-89.93755610972569,0,0,0,0.0606,-0.3813,0,-10.29925187032419,0,-221.54000000000002,84.46,0,29790000,0,0,-113.1,0,5.140000000000001,0,0,423
402,202306,629.21,627.451,116.92,13.38,0.37,2.29,20.0122128,10.81243731193581,9.4564,12.2213,7,7,46.102204261572375,89.63585714285715,39.60323291697282,51.43277002204262,0.27301905717151453,11.4906,0,0.27301905717151453,-0.25142857142857145,51.43277002204262,47.03,0,0,23482843,2.29,13.61,5.390000000000001,2.35,1.31,2.966225435425568,0,450
430,202309,1.34,1.0949,1.72,0.68,0,1.1,2.7998857,15.264187866927593,39.2266,3.7892,0.07,0.07,0,15.64142857142857,0,0,0,1.5572,0.0632,0,1,0,1.9800000000000004,0.13,0,7087943,1.1,0,0.78,0,0.04,0,0,495
433,201203,7.77,NULL,0,0,0,0,-364.801705,-119.43385955362001,6.3488998,0.0801,-0.2400000000000002,-0.24000000000000002,0,NULL,0,0,0,0.06,-0.13,0,-186.04166666666666,0,-345.57,45.85,0,9472931,0,0,-21.939999999999998,0,0.09,0,0,500
497,202309,4505.52,3931.733,48.31,3.66,0.7,8.91,117.5762301,5.003191358124018,7.5786,11.3058,140.87,209.35,1.136946922487457,18.780668736565563,2.697396006535286,5.629888813382878,1.8548227053062363,2.4364,0.0124,1.8548227053062363,-2.740816813947934,6.053814901030898,1230.8,2.67,12.55,104667638,8.91,3458.15,93.28,31.44,2921.31,-0.7550731204993031,0,565
536,201006,16.93,NULL,0,0,0,0,-1.4699463,0,NULL,NULL,-0.28,-0.28,0,NULL,0,0,0,NULL,NULL,0,NULL,0,NULL,NULL,NULL,0,0,0,-0.28,0,0.04,0,0,611
565,201912,58.8,214.0328,1.55,0.31,0,13.83,68.2960486,7.842690106974044,20.2439,9.8771,36.08,39.36,0.6156205597261771,5.437825203252033,10.881007852273706,3.664394396985647,0.7207687204577494,1.5089,0.856,0.7207687204577494,3.94385162601626,11.321080334800241,186.78,37.5,122.38,27348526,13.83,347.67,37.83,0,296.5,-0.00668032592679509,0,644
630,201706,3.41,2.85,0,0,0,0,-225.9,-9.038619556285948,1.7264,1.7264,-1.0999999999999999,-0.9499999999999998,0.504424778761062,-3.0000000000000004,-19.469026548672563,-16.814159292035395,0.46425636811832377,0.0494,0,0.46425636811832377,0.5894736842105265,-16.814159292035395,-67.77,0,0,3000000,0,5.65,-1.0999999999999999,0,1.01,0,0,761
631,201703,9.45,39.21,0,0.37,0,0,26.3497125,-6.8890626357397275,-31.3563,-3.8169999,-2.37,-0.01000000000000012,0.5672743055555556,-3920.999999999953,-11.472800925925924,-6.741898148148148,0.6004691164972635,1.3767,1.3511,0.6004691164972635,-2975.9999999999645,-0.014467592592592764,25.29,30.71,3.46,9596499,0,67.19,-7.93,0,46.19,0,0,762
643,201912,6.07,25.0833,0,0.13,0,0,21.2218864,-97.63339070567987,100.5413,-2332.7869,-91.51,-88.95,55.74066666666668,-0.28199325463743674,-20168.888888888894,-19600.000000000004,0.0048407917383821,0.0632,-1.0092,0.0048407917383821,-1.3197301854974706,-19766.666666666668,-116.38999999999999,108.92,8.54,21838462,0,0.44999999999999996,-90.76,0,12.419999999999998,0,0,795
645,201412,146.41,NULL,0,1.6,0,0,6.1146413,-23.054386593949918,-693.48822,-42.823799,-323.79,-236.14999999999998,NULL,NULL,-9488.737864077673,-7770.4854368932065,0.002429657866430148,1.09,11.15,0.002429657866430148,-4.323226762650858,-4585.436893203884,91.72999999999999,146.68,876.23,150007773,0,5.149999999999999,-488.67,0,34.76,0,0,798
652,202106,31.8,155.5819,0,0,0,0,-52.3457174,-17.07486538127497,23.292,-43.8324,-15.79,-14.350000000000001,19.06640931372549,-10.841944250871078,-240.93137254901958,-330.39215686274514,0.07087024491922876,0.2944,-1.3057,0.07087024491922876,-7.3428571428571425,-175.85784313725492,-80.72,98.48,6.92,18327400,0,8.16,-19.66,0,16.89,0,0,807
664,201803,391.3,600.1463933,0,0,0,0,-4.0452841,-3.6032714352751896,-125.3123,-1.8871,-4.57,1.0400000000000005,4.436655528202853,577.0638397115382,-7.947068825312338,-3.792415169660679,0.4534088623717906,3.7151,27.1909,0.4534088623717906,181.24038461538453,0.7688327049604498,8.569999999999997,11.86,221.25,33660195,0,135.27,-10.75,0,97.6,0,0,818
696,202303,276.92,274.7091,41.51,1.4,0,48.7,1441.1605839,4.4527290244208935,5.3839,6.8875,13.709999999999997,14.639999999999999,1.897686515612047,18.764282786885246,7.3431887261674476,10.085659021829233,0.6063754031751352,1.3805,0.0024,0.6063754031751352,-0.15095628415300547,10.11329096435479,197.44,0.47,0,1365034,48.7,144.76000000000002,10.629999999999999,0,49.449999999999996,4.60302953433592,0,890
700,201806,6.54,143.2557,0,0,0,0,-68.7350573,-43.45878136200717,103.5957,-37.0118,-35.3,-27.44,41.887631578947364,-5.220688775510204,-2694.444444444445,-905.2631578947368,0.016129032258064516,0.451,-2.9475,0.016129032258064516,-4.822157434402332,-802.3391812865498,-45.19000000000001,80.23,52.99,22235000,0,3.4699999999999998,-92.15,0,18.580000000000002,0,0,900
701,202309,0,NULL,0,0,0,16.54,119.525,7.006369426751593,20.149,23.3885,1.1300000000000001,1.75,NULL,NULL,5.929919137466308,14.645103324348607,1.1815286624203822,0.7429,0.4275,1.1815286624203822,0.5428571428571428,15.723270440251572,3.25,0.89,0.49,0,16.54,11.13,0.66,0,4.37,0,0,901
738,201712,3.73,6556.68,0,0,0,0,-73.4790357,-25.4130825084069,150.3178,-1.1404,-188.64000000000007,-185.39,0,-35.36695614650197,0,0,0,0.5013,-8.3976,0,-35.34683639894277,0,-783.5,6579.5,0,106607894,0,0,-1504.64,0,0.31,0,0,976
755,201803,2.04,9.2769,0,0,0,0,-13.7484487,-328.6150712830957,185.1183,929.9317,-31.36,-31.31,0.27293027360988525,-0.2962919195145321,-94.93968814357162,-94.79258605472197,3.4613034623217924,0.8277,-0.8118,3.4613034623217924,-0.2312360268284893,-92.11532803765813,-9.01,7.31,0.01,8670040,0,33.99,-32.269999999999996,0,31.92,0,0,1011
767,201709,6.84,152.8657,0,0,0,0,-26.2922943,-62.488422352577956,9.2592,11.8359,-45.06999999999999,-41.36,849.2538888888889,-3.6959792069632496,-44977.777777777774,-42916.66666666667,0.0013893176906452608,1.0655,-1.1571,0.0013893176906452608,-8.354690522243713,-22977.777777777777,-322.05999999999995,372.57,0.08,136877482,0,0.18,-80.96,0,3.43,0,0,1035
795,202212,295.82,273.6581,0,0.63,0,0,52.2333837,-0.48666288308740074,-0.3301,0.4505,-1.0800000000000036,10.479999999999999,0.36167543349545356,26.112414122137405,-0.45331994079086496,0.8762423345316132,1.0735527809307606,1.5046,0.0865,1.0735527809307606,-2.114503816793894,1.3850708395009514,466.98,38.51,1.89,89398236,0,756.64,-3.43,0,164.23999999999998,0,0,1074
820,201712,1.39,92.4087,0,0,0,0,-71.6688888,-110.18722466960354,18.8915,107.5398,-20.12,-19.070000000000004,660.0621428571428,-4.845762978500261,-14292.857142857141,-13614.285714285714,0.007709251101321587,0.0369,-0.8274,0.007709251101321587,-4.772941793392763,-13621.428571428572,-110.87,91.73,0,15480840,0,0.12,-20.01,0,-0.11,0,0,1114
848,202303,8.9,1210.61,0,0,0,0,-364.3046696,-26.15424559185424,16.2273,-7.0032,-33.5,-11.51,60530.49999999999,-105.17897480451781,-1158450,-1048500,0.00002257693089201454,0.921,-1.3346,0.00002257693089201454,-165.30582102519548,-57550,-1427.71,1905.45,0,39185675,0,0.02,-231.69,0,9.83,0,0,1167
850,200909,1.31,NULL,0,0,0,0,-56.2035348,0,NULL,NULL,-1.39,-1.29,0,NULL,0,0,0,NULL,NULL,0,NULL,0,NULL,NULL,NULL,2617685,0,0,-1.39,0,1.1900000000000002,0,0,1174
860,201803,2.62,NULL,0,0,0,0,-7.6167226,-1.782178217821782,0.0004,0.0005,-0.18,-0.18,NULL,NULL,-179.99999999999997,-179.99999999999997,0.009900990099009901,0.3202,-0.145,0.009900990099009901,-20,-179.99999999999997,-24.879999999999995,3.62,0,0,0,0.1,-0.18,0,0.04,0,0,1191
861,201712,1.82,206.6576356,0.24,0,0,10.28,-249.9397174,4.843437708194537,9.7369003,-11.0903,-5.1000000000000005,-2.7,1.5408413033104682,-76.53986503703703,5.420518938264241,7.254697286012527,0.8935376415722852,1.49,-1.41,0.8935376415722852,-77.28518518518517,-2.0131225767968983,-148.91,209.47,0.03,7352700,10.28,134.12,7.27,0,102.96999999999998,-0.001917018681184047,0,1192
871,201712,1.81,NULL,0,0,0,0,-2.3647086,-5.555555555555556,28.614,-24.7237,-0.19,-0.030000000000000013,0,NULL,0,0,0,0.9051,0,0,0.3333333333333332,0,-0.5299999999999976,0,0,0,0,0,-0.19,0,0.04,0,0,1203
884,201706,4.09,NULL,0,0,0,0,-11.8088406,-7.719094602437609,6.5960999,3.5848,-0.08000000000000002,-0.07,0,NULL,0,0,0,0.02,-0.86,0,-251.85714285714283,0,-20.439999999999998,17.64,0,17315775,0,0,-1.33,0,0,0,0,1226
893,201912,5.9,479.0166,0,0,0,0,-17.2180546,-6.170805159384055,1.9954,-150.7437,-10.86,-6.930000000000001,153.04044728434505,-69.1221645021645,-346.96485623003196,-221.40575079872207,0.017785101426217396,0.1404,-1.0132,0.017785101426217396,-68.26984126984127,-221.40575079872207,-483.54,263.32,226.61,280831852,0,3.13,-10.86,0,5.140000000000001,0,0,1247
907,201303,4.79,NULL,0,0,0,0,-66.5413643,-23.3659289758106,12.0138,25.900499,-4.529999999999999,-2.34,NULL,NULL,-30.59299191374663,-15.835579514824799,0.7637673700463201,0.12,-0.54,0.7637673700463201,-8.5982905982906,-15.768194070080863,-37.790000000000006,20.3,0,6890000,0,14.84,-4.54,0,15.209999999999999,0,0,1288
917,201512,9.65,NULL,0,0,0,0,-21.2498062,0,NULL,NULL,-4.5,-1.85,NULL,NULL,-18.870174392606945,-14.920256372037564,0,NULL,NULL,0,NULL,-2.7574899388880607,NULL,NULL,NULL,0,0,67.09,-12.66,0,20.43,0,0,1310
924,201912,4.29,4.2975,0,0,0,0,-5.3577585,-128.57142857142856,3.0939,8.5166,-0.09,-0.09,0,-47.75000000000001,0,0,0,0.0117,-0.0093,0,-0.3333333333333333,0,-6.43,0,0.06,12316866,0,0,-0.09,0,0,0,0,1330
934,201703,2.13,40.0672,0,0,0,0,-147.4587068,-20.091324200913242,2.1359999,16.155399,-0.6,-0.34,17.728849557522125,-117.84470588235293,-38.93805309734513,-27.433628318584073,0.5159817351598173,0.27,-0.91,0.5159817351598173,-111.55882352941175,-15.04424778761062,-41.8,37.98,0,2835029,0,2.26,-0.8799999999999999,0,1.58,0,0,1349
950,202309,2.31,5.41418,0,0.9,0,0,0.4670604,-41.45283700758944,-7.6813,-3.3818,-11.469999999999999,-11.469999999999999,0,-0.4720296425457716,0,0,0,0.032,1.2713,0,-0.28509154315605933,0,2.5700000000000003,0,3.27,54942142,0,0,-11.469999999999999,0,0,0,0,1378
955,201406,2.57,NULL,4.16,5.42,0,1.7,1.3071216,2.6548672566371683,NULL,NULL,1.2800000000000002,1.3499999999999999,NULL,NULL,62.37623762376238,70.2970297029703,0.042562157606405394,1.6772,0.4072,0.042562157606405394,2.2148148148148152,133.66336633663366,14.43,2.92,2.95,3630220,1.7,0.88,0.63,0,0.77,0,0,1387
960,202212,0.83,NULL,1.48,0,0,1.76,-4.3538994,168.2926829268293,-38.9115,-748.7648,0.6900000000000001,0.7,NULL,NULL,92,93.33333333333333,1.829268292682927,0.0314,-0.948,1.829268292682927,2.414285714285714,93.33333333333333,-1.7899999999999996,0,1.7,0,1.76,0.75,0.6900000000000001,0,0.049999999999999996,0,0,1395
962,202109,15.52,103.3225,0,0.26,0,0,3.3245327,-0.3860875353636212,-1.9506,-0.7805,-1.16,-1.09,0,-94.79128440366972,0,0,0,1.9414,1.498,0,-80.55045871559632,0,59.290000000000006,88.83,0,178358000,0,0,-1.16,0,0,0,0,1415
1050,202003,12.74,227.3502,0,0,0,0,-94.4258873,-2.298661850422789,37.1502,11.6559,23.580000000000002,23.67,14.734296824368114,9.604993662864384,-54.43940375891121,-72.26182760855475,0.042224228990504334,2.1393,-9.9481,0.042224228990504334,9.499366286438528,153.40246273493196,-22.610000000000003,0,224.95,2395000,0,15.43,-8.399999999999999,0,2.98,0,0,1608
1071,201912,1.9,13.90232,0,0,0,0,-14.6893818,-35.03440366972477,0,0,-6.64,-6.4,3.2406340326340324,-2.1722374999999996,-142.42424242424244,-139.86013986013987,0.24598623853211007,1.2393,-2.9902,0.24598623853211007,-1.875,-149.1841491841492,-4.04,12.08,0,2750000,0,4.29,-6.11,0,2.05,0,0,1657
1088,202303,19.82,19.8136,0,0,0,0,-0.3244704,-77.2,291.9054,-105.1973,-1.9300000000000002,-1.9000000000000001,0,-10.42821052631579,0,0,0,3.6918,-3.7798,0,-1.3157894736842104,0,-0.6600000000000001,2.5,0,20347000,0,0,-1.9300000000000002,0,0.04,0,0,1696
1097,202209,9.65,745.15,0,0,0,0,-12.9084,-23.40560444083522,17.3688,-1.1551,-4.329999999999991,-4.33,14.814115308151093,-172.09006928406467,-418.2902584493042,-418.2902584493042,0.055955413658460615,1.1522,-1.3095,0.055955413658460615,-364.05080831408776,-8.608349900596423,-1211.37,1425.65,160.59,7500000,0,50.3,-210.4,0,51.419999999999995,0,0,1709
1118,200909,31.55,NULL,80,0,0,0.01,-0.4305644,0,-1.7658,4.9531,-0.4299999999999997,3.42,NULL,NULL,-18.11139800811509,-3.7624492807082257,0,0.3739,0,0,NULL,12.615271117668758,NULL,NULL,NULL,394389790,0.01,24.33,-4.91,0,21.3,-1.4899211218229622,0,1740
1126,201812,5.52,NULL,0,0.52,0,0,3.5830508,-0.8517887563884157,-2.281,-1.2415,-0.25,-0.25,0,NULL,0,0,0,0.158,0.8373,0,-34.8,0,10.57,0,8.85,29500000,0,0,-0.25,0,0.01,0,0,1749
1175,201912,1.9,28.758,0,0.14,0,0,18.781831,-23.468606431852983,5.7645,8.9446,-9.16,-8.479999999999999,0.3866881807180314,-3.3912735849056608,-16.485141858276187,-15.27497646900632,1.4236217457886677,3.7866,2.0326,1.4236217457886677,-3.1674528301886795,-11.402447223342744,13.34,18.56,8.55,7100000,0,74.37,-12.26,0,65.94,0,0,1842
1176,201606,7.95,7.9484,0,1.15,0,0,0.9180667,-0.2886002886002886,0.1336,-0.0363,-0.04,0.02,158.968,397.42,-40,40,0.007215007215007216,148.86,0,0.007215007215007216,0,40,6.89,0,0,75000000,0,0.05,-0.02,0,0,0,0,1843
1190,202006,2.81,NULL,0,0,0,0,-2.2852291,-13.333333333333334,2.9941,-4.743,-0.18,-0.18,0,NULL,0,0,0,0,0,0,0.05555555555555556,0,-2.130000000000001,0,0,9676767,0,0,-0.18,0,0,0,0,1867
1195,201812,7.73,309.9828,0,0,0,0,-37.1356007,-14.10534166785055,-764.8246,-21.7326,-72.03,-64.61999999999999,4.8701146897093475,-4.797010213556176,-124.79183032207384,-168.2010997643362,0.11303097030828244,0.4909,32.0799,0.11303097030828244,-4.677344475394615,-101.52395915161034,9.45,303.19,0,11316724,0,63.650000000000006,-79.43,0,66.37,0,0,1878
1250,202309,866.63,NULL,0,31.19,0,0,8.6682683,-4.877239548772395,-15.8651,-5.1969,-4.37,-4.26,NULL,NULL,-43.49112426035502,-42.40631163708086,0.11214333112143332,3.5139,2.0346,0.11214333112143332,-13.241784037558688,-42.01183431952663,27.779999999999998,0,56.52,32050000,0,10.14,-4.409999999999999,0,0.12,0,0,1979
1257,202103,3.2,2.5838,5.11,0.17,0,0.38,11.3150061,0.7672955974842767,3.3312,3.3312,0.61,0.61,0.04517922713761147,4.235737704918033,1.0666200384682638,1.0666200384682638,0.7193710691823899,1.1345,0,0.7193710691823899,-1.0163934426229508,1.0666200384682638,18.67,0,0,16500380,0.38,57.19,0.61,0,0.65,0.0034821124361158412,0,1996
1279,202112,1.19,4.3232,0,0,0,0,-6.8982094,-3.4782608695652173,0.9989,2.6739,-0.04,-0.04,0,-108.08,0,0,0,0.3785,-0.6264,0,-78.5,0,-5.01,3.14,0,7262200,0,0,-0.04,0,0,0,0,2033
1291,201709,11.21,334.7858,0,0,0,0,-96.1409567,-39.24731182795699,14.9778,-28.0318,-14.21,-5.69,16739.29,-58.83757469244288,-204400,-161800,0.00019201228878648233,0.1521,-1.1857,0.00019201228878648233,-56.86818980667837,-28450,-272.94,93.27,230.36,34827224,0,0.02,-40.88,0,0.55,0,0,2054
1307,200909,9.300000190734863,NULL,0,0,0,0,-8.579999923706055,0,NULL,NULL,1.19,2.14,NULL,NULL,-8.51293103448276,1.7241379310344827,0,NULL,NULL,0,NULL,23.06034482758621,NULL,NULL,NULL,0,0,9.28,-0.79,0,5.2,0,0,2079
1335,202212,0.58,NULL,0,0.64,0,0,22.55845,-9.782608695652172,-40.3446,8.0066,0.31,0.31,0,NULL,0,0,0,39.3159,0,0,-2.806451612903226,0,0.9,0,0,400000,0,0,-0.09,0,0.02,0,0,2126
1362,201612,92.25,99.1987,17.69,7.01,0,3.44,8.6825198,23.262032085561497,40.172699,23.6346,5.22,5.22,0,19.003582375478928,0,0,0,0.3,0.55,0,1.3754789272030652,0,13.16,0,7.18,15155036,3.44,0,5.22,0,0.51,0,0,2169
1383,202109,13.71,NULL,0,0,0,0,-11.8307452,-6.476399560922063,-39.6458,-23.7508,-1.77,-0.88,NULL,NULL,-268.1818181818182,-134.84848484848484,0.02414928649835346,0.6199,0.4046,0.02414928649835346,-1.0795454545454546,-133.33333333333331,4.45,0,1.8,10151916,0,0.66,-1.77,0,-0.19000000000000006,0,0,2214
1384,201706,11.4,11.3363296,0,0.01,0,0,71.3279711,0.014454278707402035,0.0165,0.0017,0.01,0.4,9.607058983050846,28.340823999999998,25.423728813559322,33.898305084745765,0.0005685349624911467,80.62,0,0.0005685349624911467,-0.15,33.898305084745765,1955.19,0,0,271403068,0,1.18,0.3,0,0.26,0,0,2215
1405,201906,6.56,NULL,0,0,0,0,-10.1529634,11.106913486966377,9.9667,194.0664,2.94,10.57,0,NULL,0,0,0,0.5267,-0.9486,0,6.4891201513718055,0,-72.35000000000001,68.63,0,71260113,0,0,2.94,0,0.03,0,0,2251
1420,201312,620.6,NULL,0,0,0,0,-1147.2411283,0,NULL,NULL,-47.38000000000005,-16.01,NULL,NULL,-67937.69230769231,-66731.15384615384,0,NULL,NULL,0,NULL,-615.7692307692308,NULL,NULL,NULL,206865000,0,2.6,-1766.38,0,15.58,0,0,2289
1457,202306,20.95,22.2186,0,0.82,0,0,39.7237874,-0.4461221688400824,-0.3973,-0.4849,-0.17,-0.16,28.124810126582275,-138.86624999999998,-16.455696202531644,-20.253164556962027,0.027110501029512696,7.7511,0.0505,0.027110501029512696,-7.9375,-20.253164556962027,25.62,0,1.3,6449380,0,0.79,-0.13,0,0.44999999999999996,0,0,2314
1483,201812,2.43,904.1073,0,0,0,0,-126.9166772,-8.952754602821962,6.237,-8.7295,-37.88,-31.009999999999998,154.02168654173764,-29.15534666236698,-645.3151618398638,-528.2793867120954,0.013873460802155468,0.5911,-1.7144,0.013873460802155468,-29.077071912286364,-528.2793867120954,-526.4,270.52,631.94,41972900,0,5.87,-37.88,0,16.77,0,0,2342
1492,202303,21.99,1645.1442,0,0,0,0,-587.9576349,-17.236777796693005,9.5198,27.206,-312.58,-68.74999999999999,6.289017928819909,-23.929370181818186,-119.98929622692,-26.77854658052678,0.14365262851525817,0.0571,-0.6517,0.14365262851525817,-23.777309090909096,-26.281585687526277,-2525.2599999999998,1289.27,356.49,43550000,0,261.59,-313.88,0,193.27,0,0,2356
1497,202012,1.51,NULL,1.03,0.12,0,0.29,2.4170076,2.013793103448276,12.1366,3.0546,1.81,1.92,0,NULL,0,0,0,0.0673,3.9355,0,24.500000000000004,0,12.100000000000001,0,47.59,0,0.29,0,1.46,0,0.01,0,0,2363
1501,201812,4.99,553.9,0,0,0,0,-42.1538431,-8.721341278658722,46.1441,-28.5826,-103.69999999999999,-3.4,0,-162.91176470588235,0,0,0,0.0638,-2.4408,0,-161.44411764705885,0,-237.56,579.84,0,106217300,0,0,-103.61999999999999,0,1.11,0,0,2370
1538,202006,4.69,NULL,0,0,0,0,-33.1229023,-0.4081632653061224,0.5336,-3.1188,-0.01,-0.01,0,NULL,0,0,0,249.9763,0,0,1,0,-14.239999999999998,0,0,0,0,0,-0.01,0,0,0,0,2433
1543,202103,1.13,1.0419,0,1.3,0,0,9.0614583,-1.9867549668874174,-1.8175,-1.7867,-0.03,-0.03,0,-34.730000000000004,0,0,0,340.5387,0,0,3.666666666666667,0,1.48,0,0,962300,0,0,-0.03,0,0,0,0,2443
1544,201903,7.7,334.4781,0,0.05,0,0,53.490152,-3.1060723714862557,-10.9322,-2.5445,-11.620000000000001,-7.15,17.753614649681527,-46.780153846153844,-95.54140127388536,-71.81528662420384,0.032510224154889474,2.552,1.7749,0.032510224154889474,-39.655944055944055,-37.95116772823779,164.72,292.36,0,30794141,0,18.84,-18,0,20.49,0,0,2447
1546,201606,11.15,NULL,0,0,0,0,-15.8958371,0,NULL,NULL,-31.81,-30.119999999999997,0,NULL,0,0,0,NULL,NULL,0,NULL,0,NULL,NULL,NULL,60943000,0,0,-31.880000000000003,0,1.4300000000000002,0,0,2449
1552,202203,62.97,6959.89,0,0.16,0,0,5.3325977,-29.066664666001447,-585.1479,-10.7963,-1642.33,-1117.91,4.598175235528072,-6.225805297385299,-153.57619481772176,-118.92945389199406,0.18926543075572627,3.7681,27.574,0.18926543075572627,-6.169476970418011,-73.85671436688206,250.47000000000003,6899.61,6.86,454930401,0,1513.62,-2324.56,0,134.96,0,0,2467
