co_code,name,symbol,scripcode
78359,"Agarwal Float Glass India Ltd",AGARWALFT,78359
78378,"Rungta Irrigation Ltd Partly Paidup",NULL,890178
78384,"MCON Rasayan India Ltd",MCON,78384
78395,"Rishabh Instruments Ltd",RISHABH,543977
78397,"Innokaiz India Ltd",NULL,543905
78414,"ITCONS E-Solutions Ltd",NULL,543806
78415,"Sonalis Consumer Products Ltd",NULL,543924
78417,"J.G.Chemicals Ltd",JGCHEM,544138
78418,"Sealmatic India Ltd",NULL,543782
78427,"Indus Infra Trust",INDUSINVIT,544137
78428,"Adcon Capital Services Ltd Partly Paidup",NULL,890179
78432,"De Neers Tools Ltd",DENEERS,78432
78433,"Patron Exim Ltd",NULL,543798
78447,"Earthstahl & Alloys Ltd",NULL,543765
78455,"Labelkraft Technologies Ltd",NULL,543830
78456,"A G Universal Ltd",AGUL,78456
78459,"Kotak Nifty 1D Rate Liquid ETF",LIQUID1,78459
78482,"Nirman Agri Genetics Ltd",NIRMAN,78482
78483,"Macfos Ltd",NULL,543787
78512,"Master Components Ltd",MASTER,78512
78513,"Yasons Chemex Care Ltd",YCCL,78513
78516,"HDFC S & P BSE 500 ETF",HDFCBSE500,543774
78517,"HDFC Nifty Midcap 150 ETF",HDFCMID150,543776
78518,"HDFC Nifty Small Cap 250 ETF",HDFCSML250,543775
78519,"Ratnaveer Precision Engineering Ltd",RATNAVEER,543978
78520,"Prospect Consumer Products Ltd",NULL,543814
78521,"Systango Technologies Ltd",SYSTANGO,78521
78612,"MOS Utility Ltd",MOS,78612
78613,"Pattech Fitwell Tube Components Ltd",PATTECH,78613
78625,"Mirae Asset Gold ETF",GOLDETF,543781
78648,"Sotac Pharmaceuticals Ltd",SOTAC,78648
78654,"Vivaa Tradecom Ltd",NULL,544002
78655,"Spectrum Talent Management Ltd",SPECTSTM,78655
78686,"Jay Kailash Namkeen Ltd",NULL,544160
78687,"Maiden Forgings Ltd",NULL,543874
78688,"Ideaforge Technology Ltd",IDEAFORGE,543932
78689,"Shri Techtex Ltd",SHRITECH,78689
78690,"Infinium Pharmachem Ltd",INFINIUM,78690
78691,"Avax Apparels and Ornaments Ltd",NULL,544337
78693,"Aarti Surfactants Ltd Partly Paidup",AARTIPP,890180
78696,"Bizotic Commercial Ltd",NULL,543926
78697,"Innovatus Entertainment Networks Ltd",NULL,543951
78698,"Infollion Research Services Ltd",INFOLLION,78698
78699,"Command Polymers Ltd",NULL,543843
78706,"Globale Tessile Ltd",GLOBALE,544234
78732,"Aditya Birla Sun Life Crisil Liquid Overnight ETF",ABSLLIQUID,543813
78746,"Retina Paints Ltd",NULL,543902
78747,"Urban Enviro Waste Management Ltd",URBAN,78747
78748,"Comrade Appliances Ltd",NULL,543921
78777,"Shree Ganesh Remedies Ltd Partly Paidup",NULL,890181
78779,"Krishca Strapping Solutions Ltd",KRISHCA,78779
78780,"Exhicon Events Media Solutions Ltd",NULL,543895
78781,"Essen Speciality Films Ltd",ESFL,78781
78782,"Aatmaj Healthcare Ltd",AATMAJ,78782
78783,"Axis S&P BSE Sensex ETF",AXSENSEX,543853
78785,"Mirae Asset Nifty 100 Low Volatility 30 ETF",LOWVOL,543858
78786,"Hazoor Multi Projects Ltd Partly Paidup",NULL,890182
78787,"City Crops Agro Ltd",NULL,544000
78788,"Remus Pharmaceuticals Ltd",REMUS,78788
78789,"Sancode Technologies Ltd",NULL,543897
78791,"ICICI Prudential Nifty PSU Bank ETF",PSUBNKIETF,543819
78806,"Shukra Pharmaceuticals Ltd Partly Paidup",NULL,890183
78822,"Asarfi Hospital Ltd",NULL,543943
78823,"Cell Point (India) Ltd",CELLPOINT,78823
78824,"KK Shah Hospitals Ltd",NULL,544013
78825,"Pentagon Rubber Ltd",PENTAGON,78825
78826,"Sungarner Energies Ltd",SEL,78826
78836,"Tridhya Tech Ltd",TRIDHYA,78836
78848,"Greenchef Appliances Ltd",GREENCHEF,78848
78850,"Nifty MidSmall Financial Services",NIFTYMSFNS,78850
78851,"Nifty MidSmall Healthcare",NFTYMIDSMH,NULL
78852,"Nifty MidSmall IT & Telecom",NIFTYMSITT,78852
78854,"Netweb Technologies India Ltd",NETWEB,543945
78867,"EMS Ltd",EMSLIMITED,543983
78868,"Digital Fibre Infrastructure Trust",NULL,543859
78869,"Kore Digital Ltd",KDL,78869
78870,"Proventus Agrocom Ltd",PROV,78870
78871,"Vilin Bio Med Ltd",VILINBIO,78871
78872,"Ahasolar Technologies Ltd",NULL,543941
78873,"IRB Infrastructure Trust",IRBIT,78873
78877,"Magson Retail and Distribution Ltd",MAGSON,78877
78922,"Mirae Asset Nifty 8-13 Yr G-Sec ETF",GSEC10YEAR,543875
78924,"Diensten Tech Ltd",DTL,78924
78925,"E Factor Experiences Ltd",EFACTOR,78925
78964,"Mono Pharmacare Ltd",MONOPHARMA,78964
78966,"Shoora Designs Ltd",NULL,543970
78986,"DSP Gold ETF",GOLDETFADD,543903
78999,"Kaka Industries Ltd",NULL,543939
79000,"Cube Highways Trust",CUBEINVIT,543899
79001,"UTI Silver ETF",SILVERETF,543900
79010,"Vasa Denticity Ltd",DENTALKART,79010
